city,state_id,state_name,lat,lng,population
Kasilof,AK,Alaska,60.331,-151.2293,531
Nunapitchuk,AK,Alaska,60.8772,-162.4615,530
New Stuyahok,AK,Alaska,59.4762,-157.271,509
Kachemak,AK,Alaska,59.6745,-151.4364,490
St. Paul,AK,Alaska,57.1815,-170.2743,481
Chefornak,AK,Alaska,60.155,-164.255,471
Thorne Bay,AK,Alaska,55.6652,-132.5337,467
Naknek,AK,Alaska,58.7847,-156.8967,464
Marshall,AK,Alaska,61.8753,-162.0488,461
Angoon,AK,Alaska,57.455,-134.4978,459
Big Delta,AK,Alaska,64.1486,-145.7453,457
Galena,AK,Alaska,64.7381,-156.8635,450
Gustavus,AK,Alaska,58.4275,-135.7492,447
Kongiganak,AK,Alaska,59.958,-162.8831,441
Manokotak,AK,Alaska,58.893,-158.9109,440
Nuiqsut,AK,Alaska,70.2135,-150.9897,425
Noatak,AK,Alaska,67.5987,-163.0309,422
Buckland,AK,Alaska,65.9784,-161.1341,422
Tuluksak,AK,Alaska,61.105,-160.9493,415
St. Michael,AK,Alaska,63.4664,-162.1324,414
Napaskiak,AK,Alaska,60.7018,-161.7616,410
Brevig Mission,AK,Alaska,65.3413,-166.4953,401
Two Rivers,AK,Alaska,64.8908,-147.0898,399
Akiak,AK,Alaska,60.9061,-161.2122,394
Saxman,AK,Alaska,55.3232,-131.589,385
King Salmon,AK,Alaska,58.753,-156.5061,385
Trapper Creek,AK,Alaska,62.3189,-150.3965,382
Hydaburg,AK,Alaska,55.2061,-132.8208,379
Kwigillingok,AK,Alaska,59.8767,-163.1717,379
Kivalina,AK,Alaska,67.733,-164.5212,379
Napakiak,AK,Alaska,60.6923,-161.9822,370
Koyuk,AK,Alaska,64.9411,-161.1454,367
Newtok,AK,Alaska,60.9341,-164.6385,360
Nenana,AK,Alaska,64.5384,-149.0859,357
Moose Pass,AK,Alaska,60.4997,-149.4464,357
Tazlina,AK,Alaska,62.0536,-145.4362,354
Tyonek,AK,Alaska,61.0734,-151.3331,344
Anaktuvuk Pass,AK,Alaska,68.15,-151.7162,343
Russian Mission,AK,Alaska,61.7825,-161.3567,343
Elim,AK,Alaska,64.6184,-162.2762,341
Anderson,AK,Alaska,64.3074,-149.1562,340
Tununak,AK,Alaska,60.579,-165.2077,339
Kiana,AK,Alaska,66.9726,-160.4344,338
Adak,AK,Alaska,51.8815,-176.6295,326
Nightmute,AK,Alaska,60.4874,-164.8195,317
McGrath,AK,Alaska,62.9424,-155.563,316
Eek,AK,Alaska,60.2164,-162.0331,315
Lower Kalskag,AK,Alaska,61.5163,-160.3556,314
Copper Center,AK,Alaska,61.9845,-145.3544,299
Glennallen,AK,Alaska,62.1278,-145.7693,289
Goodnews Bay,AK,Alaska,59.1271,-161.5754,277
Seldovia,AK,Alaska,59.4396,-151.7111,275
Shungnak,AK,Alaska,66.8805,-157.1499,264
Ambler,AK,Alaska,67.0897,-157.8725,262
Nikolaevsk,AK,Alaska,59.8295,-151.5964,261
Shaktoolik,AK,Alaska,64.3567,-161.1972,259
Huslia,AK,Alaska,65.7002,-156.3386,258
Kaktovik,AK,Alaska,70.123,-143.6262,254
Point Lay,AK,Alaska,69.7442,-162.8678,251
Tanana,AK,Alaska,65.1746,-152.0686,249
Atqasuk,AK,Alaska,70.481,-157.3835,248
Nulato,AK,Alaska,64.7052,-158.2383,243
Chickaloon,AK,Alaska,61.804,-148.4103,241
Teller,AK,Alaska,65.2531,-166.342,237
Upper Kalskag,AK,Alaska,61.5416,-160.3337,235
Minto,AK,Alaska,65.1033,-149.5565,229
Aleknagik,AK,Alaska,59.2946,-158.6896,220
Old Harbor,AK,Alaska,57.2169,-153.3252,215
Nanwalek,AK,Alaska,59.3302,-151.911,212
Atmautluak,AK,Alaska,60.8622,-162.2858,209
Harding-Birch Lakes,AK,Alaska,64.3711,-146.5999,209
Glacier View,AK,Alaska,61.8511,-147.7764,208
Nunam Iqua,AK,Alaska,62.511,-164.8998,207
Mekoryuk,AK,Alaska,60.3704,-166.267,205
Mentasta Lake,AK,Alaska,62.9867,-143.5191,205
Whittier,AK,Alaska,60.7852,-148.6455,205
White Mountain,AK,Alaska,64.6812,-163.4228,201
Grayling,AK,Alaska,62.8998,-160.1078,198
Clam Gulch,AK,Alaska,60.2001,-151.3939,197
Port Graham,AK,Alaska,59.34,-151.8464,192
Newhalen,AK,Alaska,59.727,-154.897,187
Port Lions,AK,Alaska,57.8754,-152.8745,184
Mosquito Lake,AK,Alaska,59.471,-136.1458,183
Cantwell,AK,Alaska,63.379,-148.8158,183
Alcan Border,AK,Alaska,62.6727,-141.1321,177
Coffman Cove,AK,Alaska,56.0057,-132.8395,176
Kaltag,AK,Alaska,64.3223,-158.7436,173
Nelchina,AK,Alaska,61.9989,-146.8112,171
Lowell Point,AK,Alaska,60.0629,-149.4898,167
Holy Cross,AK,Alaska,62.1868,-159.8198,164
Seldovia Village,AK,Alaska,59.453,-151.5905,164
Golovin,AK,Alaska,64.564,-162.9989,161
Koliganek,AK,Alaska,59.6971,-157.2258,161
Fort Greely,AK,Alaska,63.9678,-145.7148,161
Allakaket,AK,Alaska,66.5506,-152.627,161
